Dip	Direction	structure
60	20	FRA
86	140	FRA
82	160	FRA
80	260	FRA
90	235	FRA
60	320	FRA
60	10	FRA
57	332	FOL
80	350	FOL
77	158	FOL
48	121	FOL
49	106	FOL
48	99	FOL
50	102	FOL
55	110	FOL
52	97	FOL
46	121	FOL
41	115	FOL
46	136	FOL
48	134	FOL
62	152	FOL
52	147	FOL
50	145	FOL
51	141	FOL
72	142	FOL
72	161	FOL
89	154	FOL
87	188	FOL
85	16	FOL
66	144	FOL
62	138	FOL
67	137	FOL
75	344	FOL
85	139	FOL
86	159	FOL
84	144	FOL
88	158	FOL
77	156	FOL
87	167	FOL
0	0	FOL
0	0	FOL
86	171	FOL
85	176	FOL
85	346	FOL
74	176	FOL
83	179	FOL
74	178	FOL
72	187	FOL
70	162	FOL
79	183	FOL
84	6	FOL
70	148	FOL
71	158	FOL
76	192	FOL
45	100	FOL
74	154	FOL
70	137	FOL
72	167	FOL
81	343	FOL
71	154	FOL
84	174	FOL
80	167	FOL
84	163	FOL
61	136	FOL
59	128	FOL
85	342	FOL
87	142	FOL
86	328	FOL
0	0	FOL
84	162	FOL
62	146	FOL
88	162	FOL
89	158	FOL
84	176	FOL
84	177	FOL
83	171	FOL
85	350	FOL
79	176	FOL
76	178	FOL
72	176	FOL
81	174	FOL
68	184	FOL
74	179	FOL
58	166	FOL
75	174	FOL
64	165	FOL
66	150	FOL
45	358	FOL
64	154	FOL
0	0	FOL
74	147	FOL
49	156	FOL
0	0	FOL
66	154	FOL
74	160	FOL
69	169	FOL
69	166	FOL
76	167	FOL
65	168	FOL
77	154	FOL
79	184	FOL
77	171	FOL
82	168	FOL
0	0	FOL
88	154	FOL
39	10	FOL
81	159	FOL
87	251	FOL
60	164	FOL
80	174	FOL
73	169	FOL
0	0	FOL
0	0	FOL
56	164	FOL
74	126	FOL
52	102	FOL
74	126	FOL
58	131	FOL
54	152	FOL
71	147	FOL
50	126	FOL
86	342	FOL
66	133	FOL
74	156	FOL
84	141	FOL
78	161	FOL
59	156	FOL
72	166	FOL
83	184	FOL
74	165	FOL
84	161	FOL
65	315	FOL
55	272	FOL
45	84	FOL
53	134	FOL
57	137	FOL
57	152	FOL
64	138	FOL
65	161	FOL
65	169	FOL
86	176	FOL
69	101	FOL
72	76	FOL
55	330	FOL
63	174	FOL
0	0	FOL
0	0	FOL
0	0	FOL
70	167	FOL
54	77	FOL
84	156	FOL
73	18	FOL
74	156	FOL
70	153	FOL
80	342	FOL
66	162	FOL
76	139	FOL
80	171	FOL
77	187	FOL
52	114	FOL
47	114	FOL
51	132	FOL
