data corB corT cloro 
1 6.89 2.60 1.47 
2 9.30 0.20 1.37 
3 0.40 0.40 1.38 
4 2.70 0.51 1.29 
5 2.75 1.35 1.35 
6 0.20 0.00 1.39 
7 1.70 0.80 1.64 
8 1.05 0.70 1.46 
9 0.25 0.00 1.48 
10 1.63 0.00 1.40 
11 1.47 0.00 1.57 
12 0.00 0.00 1.43 
13 0.00 0.00 1.47 
14 0.84 0.41 1.56 
15 1.15 0.53 1.18 
16 3.56 0.83 1.18 
17 2.76 1.56 2.32 
18 3.32 2.37 1.52 
19 1.84 1.92 1.50 
20 1.19 0.93 1.50 
21 1.62 0.88 1.41 
22 5.09 2.15 1.39 
23 1.18 0.62 1.69 
24 0.10 0.16 1.60 
25 1.65 0.50 1.40 
26 1.98 1.85 1.56 
27 0.79 0.23 1.63 
28 0.89 0.12 1.65 
29 4.06 2.28 1.48 
30 4.40 0.13 1.24 
