Dip	Direction
60	20
86	140
82	160
80	260
90	235
60	320
60	10
80	20
60	20
88	5
84	274
62	127
80	80
54	30
80	245
80	2
70	315
80	295
64	45
72	15
88	50
82	96
46	4
74	265
82	223
56	260
80	160
50	240
80	95
58	165
80	110
86	182
64	64
84	165
86	83
60	152
54	158
86	150
58	140
84	80
60	140
56	350
82	4
78	220
74	350
70	155
60	190
50	260
60	250
85	200
70	230
80	190
80	45
60	270
60	145
60	260
80	285
90	100
88	190
82	176
80	184
84	195
84	352
90	210
88	196
80	305
60	156
72	78
68	187
90	188
86	278
84	44
88	157
44	272
60	300
88	26
88	22
74	23
66	270
80	270
88	22
64	276
86	21
90	40
66	278
62	282
88	180
88	164
66	270
80	173
76	165
80	192
78	183
86	208
70	280
80	6
60	298
32	282
50	278
70	57
40	257
80	208
30	334
64	272
76	284
62	262
74	200
48	232
70	308
44	226
84	220
66	303
80	60
86	148
90	240
82	270
76	252
44	180
66	265
78	37
70	193
82	254
80	282
80	248
76	215
82	43
76	45
56	0
90	8
85	40
75	345
80	165
50	270
85	10
80	100
55	10
85	120
65	95
80	350
75	185
75	25
85	190
70	35
78	216
74	202
70	43
78	64
80	53
76	328
78	178
88	170
64	27
58	2
88	210
86	25
34	338
84	15
40	290
60	260
86	173
70	75
74	40
68	300
84	172
80	175
88	183
80	35
60	35
60	308
88	273
88	145
56	278
84	166
50	30
72	270
78	157
76	150
60	305
82	338
60	75
58	160
60	180
60	180
84	356
78	357
70	245
82	257
54	30
76	15
88	250
84	212
88	42
72	292
74	146
82	173
60	10
90	100
90	210
86	297
86	40
44	180
70	252
80	18
40	12
76	325
66	352
70	228
80	142
60	296
80	120
86	276
80	265
80	4
60	335
80	70
80	350
80	14
74	270
78	350
82	5
82	355
48	355
86	177
82	161
74	115
90	350
80	87
88	353
58	204
88	27
72	2
68	32
80	25
66	328
88	156
86	110
75	145
85	350
82	155
60	265
85	190
80	170
85	355
70	250
75	155
80	355
54	60
82	5
54	264
56	290
64	270
46	255
64	280
82	102
76	184
88	200
72	250
72	34
86	10
82	202
68	324
64	196
72	160
72	277
62	103
80	190
54	262
48	216
54	358
40	270
82	30
46	0
50	324
86	43
14	300
12	300
30	316
74	255
22	17
84	55
74	20
80	228
56	292
86	116
8	210
72	233
76	35
50	302
74	250
40	308
46	346
86	265
60	295
85	210
80	130
80	295
30	285
85	25
80	5
70	250
60	285
70	125
40	295
74	294
46	263
36	287
86	84
70	300
88	126
54	290
80	195
76	300
88	35
36	314
80	72
64	334
80	22
80	293
60	303
58	300
50	285
54	270
82	280
68	303
50	302
60	290
70	35
62	20
70	270
88	290
76	256
68	260
86	230
80	340
70	140	
82	282
70	323
30	347
80	310
38	284
54	311
60	20
80	175
72	300
60	310
72	250
66	332
60	330
60	262
88	300
20	60
85	170
65	315
80	310
78	240
70	305
40	270
60	350
45	245
60	285
40	315
34	345
70	206
40	305
76	28
