Dip	Direction	Structure
80	20	FRA
60	20	FRA
88	5	FRA
84	274	FRA
62	127	FRA
80	80	FRA
54	30	FRA
80	245	FRA
80	2	FRA
70	315	FRA
80	295	FRA
64	45	FRA
72	15	FRA
88	50	FRA
82	96	FRA
46	4	FRA
74	265	FRA
82	223	FRA
56	260	FRA
80	160	FRA
50	240	FRA
80	95	FRA
58	165	FRA
80	110	FRA
86	182	FRA
64	64	FRA
84	165	FRA
86	83	FRA
60	152	FRA
54	158	FRA
86	150	FRA
58	140	FRA
84	80	FRA
60	140	FRA
56	350	FRA
82	4	FRA
78	220	FRA
74	350	FRA
70	155	FRA
60	190	FRA
50	260	FRA
60	250	FRA
85	200	FRA
70	230	FRA
80	190	FRA
80	45	FRA
60	270	FRA
60	145	FRA
60	260	FRA
80	285	FRA
90	100	FRA
88	190	FRA
82	176	FRA
80	184	FRA
84	195	FRA
84	352	FRA
90	210	FRA
88	196	FRA
80	305	FRA
60	156	FRA
72	78	FRA
68	187	FRA
90	188	FRA
86	278	FRA
84	44	FRA
88	157	FRA
44	272	FRA
60	300	FRA
88	26	FRA
88	22	FRA
74	23	FRA
66	270	FRA
80	270	FRA
88	22	FRA
64	276	FRA
86	21	FRA
90	40	FRA
66	278	FRA
62	282	FRA
88	180	FRA
88	164	FRA
66	270	FRA
80	173	FRA
76	165	FRA
80	192	FRA
78	183	FRA
86	208	FRA
70	280	FRA
80	6	FRA
60	298	FRA
32	282	FRA
50	278	FRA
70	57	FRA
40	257	FRA
80	208	FRA
30	334	FRA
64	272	FRA
76	284	FRA
62	262	FRA
74	200	FRA
48	232	FRA
70	308	FRA
44	226	FRA
84	220	FRA
66	303	FRA
80	60	FRA
86	148	FRA
90	240	FRA
82	270	FRA
76	252	FRA
44	180	FRA
66	265	FRA
78	37	FRA
70	193	FRA
82	254	FRA
80	282	FRA
80	248	FRA
76	215	FRA
82	43	FRA
76	45	FRA
56	0	FRA
90	8	FRA
85	40	FRA
75	345	FRA
80	165	FRA
50	270	FRA
85	10	FRA
80	100	FRA
55	10	FRA
85	120	FRA
65	95	FRA
80	350	FRA
75	185	FRA
75	25	FRA
85	190	FRA
70	35	FRA
78	216	FRA
74	202	FRA
70	43	FRA
78	64	FRA
80	53	FRA
76	328	FRA
78	178	FRA
88	170	FRA
64	27	FRA
58	2	FRA
88	210	FRA
86	25	FRA
34	338	FRA
84	15	FRA
40	290	FRA
60	260	FRA
86	173	FRA
70	75	FRA
74	40	FRA
68	300	FRA
84	172	FRA
80	175	FRA
88	183	FRA
80	35	FRA
60	35	FRA
60	308	FRA
88	273	FRA
88	145	FRA
56	278	FRA
84	166	FRA
50	30	FRA
72	270	FRA
78	157	FRA
76	150	FRA
60	305	FRA
82	338	FRA
60	75	FRA
58	160	FRA
60	180	FRA
60	180	FRA
84	356	FRA
78	357	FRA
70	245	FRA
82	257	FRA
54	30	FRA
76	15	FRA
88	250	FRA
84	212	FRA
88	42	FRA
72	292	FRA
74	146	FRA
82	173	FRA
60	10	FRA
90	100	FRA
90	210	FRA
86	297	FRA
86	40	FRA
44	180	FRA
70	252	FRA
80	18	FRA
40	12	FRA
76	325	FRA
66	352	FRA
70	228	FRA
80	142	FRA
60	296	FRA
80	120	FRA
