Dip	Direction	Type
25	145	1
40	35	1
35	175	1
56	145	1
35	135	1
24	140	1
35	155	1
11	225	1
25	140	1
45	25	1
44	160	1
42	200	1
25	138	1
37	150	1
30	150	1
35	10	1
30	160	1
64	20	1
55	170	1
50	125	1
47	210	1
56	190	1
50	185	1
42	235	1
45	115	1
20	170	1
59	160	1
22	155	1
55	150	1
42	170	1
35	120	1
50	175	1
50	145	1
35	277	1
43	187	1
45	152	1
52	150	1
45	150	1
56	65	1
35	95	1
54	120	1
15	130	1
10	145	1
24	55	1
36	305	1
26	16	1
33	132	1
30	130	1
21	141	1
20	145	1
16	115	1
15	330	1
12	10	1
81	320	2
73	240	2
35	0	2
40	315	2
71	265	2
41	310	2
44	340	2
34	42	2
83	340	2
55	300	2
40	345	2
53	30	2
60	310	2
54	325	2
75	335	2
75	155	2
62	320	2
62	180	2
45	355	2
55	281	2
49	30	2
37	5	2
39	5	2
40	70	2
63	300	2
42	345	2
31	340	2
61	5	2
57	325	2
55	350	2
38	2	2
42	10	2
72	52	2
37	94	2
64	22	2
25	340	2
35	335	2
38	335	2
57	335	2
72	255	2
26	310	2
68	310	2
78	345	2
55	250	2
55	135	2
60	200	2
55	243	2
77	130	2
82	140	2
61	330	2
78	155	2
70	150	2
64	148	2
85	240	3
60	175	3
70	100	3
85	40	3
83	30	3
76	40	3
80	30	3
72	320	3
85	40	3
75	195	3
70	40	3
62	350	3
85	220	3
54	245	3
70	45	3
72	45	3
84	210	3
38	273	3
68	105	3
51	4	3
80	320	3
37	275	3
85	235	3
76	355	3
60	225	3
70	235	3
65	245	3
65	77	3
84	215	3
56	25	3
74	260	3
56	130	3
84	165	3
66	25	3
71	170	3
86	60	3
73	40	3
80	222	3
70	20	3
81	190	3
82	50	3
89	45	3
83	165	3
85	325	3
84	45	3
58	113	3
62	355	3
85	30	3
85	55	3
75	302	3
83	10	3
90	59	3
66	220	3
