dip	direction
34	170
50	140
45	180
15	190
33	270
35	190
20	170
28	160
15	165
45	155
20	140
29	160
20	175
26	235
70	143
30	175
35	218
31	225
46	165
25	220
50	120
17	170
25	165
25	240
31	215
20	152
35	170
10	190
34	340
48	180
35	180
34	130
30	190
36	125
30	130
18	190
30	190
12	100
10	180
2	185
42	145
0	0
48	2
27	200
15	275
0	0
45	32
35	10
37	285
30	170
0	0
15	200
0	0
29	110
20	160
30	175
45	181
45	195
55	185
35	140
0	0
0	0
0	0
0	0
0	0
72	175
22	225
35	260
0	0
40	200
13	175
39	230
48	155
25	340
23	290
34	310
45	225
50	220
3	125
35	165
30	5
30	200
7	115
10	120
25	165
18	160
15	195
7	140
15	138
5	160
17	170
15	162
15	152
18	175
7	200
19	165
11	139
30	190
31	170
31	170
21	340
13	5
28	175
22	240
30	165
13	148
23	215
25	120
21	155
30	130
30	110
42	160
23	190
24	160
25	168
22	137
10	200
31	90
29	190
25	2
30	350
19	190
18	130
20	150
10	340
15	5
5	30
25	150
45	180
