Dip 	Direction 	type
34	170	1
50	140	1
45	180	1
15	190	1
33	270	1
35	190	1
20	170	1
28	160	1
15	165	1
45	155	1
20	140	1
29	160	1
20	175	1
26	235	1
70	143	1
30	175	1
35	218	1
31	225	1
46	165	1
25	220	1
50	120	1
17	170	1
25	165	1
25	240	1
31	215	1
20	152	1
35	170	1
10	190	1
34	340	1
48	180	1
35	180	1
34	130	1
30	190	1
36	125	1
30	130	1
18	190	1
30	190	1
12	100	1
10	180	1
2	185	1
42	145	1
0	0	1
48	2	1
27	200	1
15	275	1
0	0	1
45	32	1
35	10	1
37	285	1
30	170	1
0	0	1
15	200	1
0	0	1
29	110	1
20	160	1
30	175	1
45	181	1
45	195	1
55	185	1
35	140	1
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
72	175	1
22	225	1
35	260	1
0	0	1
40	200	1
13	175	1
39	230	1
48	155	1
25	340	1
23	290	1
34	310	1
45	225	1
50	220	1
3	125	1
35	165	1
30	5	1
30	200	1
7	115	1
10	120	1
25	165	1
18	160	1
15	195	1
7	140	1
15	138	1
5	160	1
17	170	1
15	162	1
15	152	1
18	175	1
7	200	1
19	165	1
11	139	1
30	190	1
31	170	1
31	170	1
21	340	1
13	5	1
28	175	1
22	240	1
30	165	1
13	148	1
23	215	1
25	120	1
21	155	1
30	130	1
30	110	1
42	160	1
23	190	1
24	160	1
25	168	1
22	137	1
10	200	1
31	90	1
29	190	1
25	2	1
30	350	1
19	190	1
18	130	1
20	150	1
10	340	1
15	5	1
5	30	1
25	150	1
45	180	1
60	335	2
35	5	2
65	330	2
75	10	2
83	310	2
55	15	2
78	350	2
55	330	2
68	350	2
55	320	2
55	330	2
52	330	2
85	348	2
88	335	2
35	345	2
81	10	2
0	0	2
73	343	2
54	340	2
88	355	2
50	345	2
53	5	2
70	350	2
75	30	2
65	340	2
55	6	2
68	350	2
80	335	2
73	155	2
35	355	2
46	340	2
50	10	2
70	320	2
66	70	2
56	315	2
50	320	2
55	340	2
75	135	2
70	3	2
89	330	2
40	15	2
0	0	2
75	190	2
64	12	2
45	330	2
0	0	2
25	250	2
16	185	2
62	175	2
55	352	2
28	255	2
0	0	2
0	0	2
75	320	2
83	340	2
75	5	2
55	15	2
48	10	2
55	335	2
88	350	2
0	0	2
0	0	2
0	0	2
0	0	2
0	0	2
60	355	2
58	350	2
50	110	2
0	0	2
62	345	2
0	0	2
48	310	2
0	0	2
0	0	2
88	270	2
0	0	2
65	105	2
40	35	2
81	340	2
58	320	2
58	250	2
50	2	2
84	295	2
65	282	2
68	335	2
75	338	2
65	315	2
88	325	2
75	15	2
70	335	2
52	68	2
71	40	2
81	320	2
62	345	2
58	25	2
75	325	2
90	325	2
72	42	2
62	315	2
75	3	2
65	165	2
51	215	2
66	350	2
78	215	2
55	340	2
82	325	2
81	335	2
75	320	2
85	350	2
55	328	2
60	325	2
52	330	2
32	5	2
32	355	2
65	328	2
65	343	2
75	340	2
75	300	2
62	328	2
75	350	2
63	220	2
62	10	2
84	330	2
63	350	2
72	140	2
62	325	2
65	165	2
55	330	2
55	340	2
82	255	3
88	230	3
80	245	3
85	290	3
80	190	3
80	340	3
85	265	3
70	290	3
79	253	3
69	240	3
72	225	3
80	230	3
84	241	3
61	90	3
90	285	3
84	286	3
0	0	3
64	70	3
69	106	3
82	278	3
90	290	3
88	273	3
80	98	3
65	110	3
75	110	3
87	300	3
83	275	3
75	215	3
88	225	3
80	290	3
78	252	3
84	240	3
68	260	3
86	210	3
80	205	3
78	80	3
80	290	3
88	280	3
89	280	3
75	275	3
69	90	3
0	0	3
82	95	3
80	70	3
0	0	3
0	0	3
53	105	3
80	305	3
86	35	3
75	245	3
0	0	3
0	0	3
0	0	3
72	205	3
78	115	3
85	108	3
88	240	3
75	90	3
88	85	3
72	230	3
0	0	3
0	0	3
0	0	3
0	0	3
0	0	3
0	0	3
65	280	3
62	355	3
0	0	3
80	210	3
0	0	3
87	240	3
0	0	3
0	0	3
83	5	3
0	0	3
75	3	3
79	110	3
74	55	3
70	55	3
62	105	3
87	100	3
70	150	3
88	20	3
88	260	3
88	260	3
80	265	3
82	260	3
88	270	3
85	245	3
89	245	3
87	90	3
88	10	3
60	265	3
75	320	3
86	285	3
82	230	3
67	295	3
88	215	3
80	270	3
80	100	3
80	315	3
86	90	3
79	275	3
85	212	3
80	250	3
85	230	3
72	225	3
77	215	3
86	210	3
80	245	3
65	240	3
72	285	3
72	265	3
65	210	3
64	215	3
85	245	3
88	190	3
70	240	3
75	270	3
86	285	3
81	260	3
85	210	3
78	270	3
83	60	3
80	230	3
85	260	3
88	255	3
76	80	3
